cluster,size,acc,tp,tn,fp,fn
37,29.0,0.4827586206896552,0.3448275862068966,0.13793103448275862,0.3793103448275862,0.13793103448275862
38,42.0,1.0,0.0,1.0,0.0,0.0
39,138.0,0.8043478260869565,0.0,0.8043478260869565,0.0,0.1956521739130435
40,70.0,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.0
41,20.0,1.0,0.0,1.0,0.0,0.0
42,41.0,0.6585365853658537,0.6585365853658537,0.0,0.34146341463414637,0.0
43,126.0,1.0,0.0,1.0,0.0,0.0
44,29.0,0.6206896551724138,0.5862068965517241,0.034482758620689655,0.3448275862068966,0.034482758620689655
45,36.0,0.7777777777777778,0.7777777777777778,0.0,0.2222222222222222,0.0
46,143.0,0.8181818181818182,0.0,0.8181818181818182,0.006993006993006993,0.17482517482517482
47,37.0,0.8378378378378378,0.0,0.8378378378378378,0.0,0.16216216216216217
48,130.0,0.7923076923076923,0.0,0.7923076923076923,0.0,0.2076923076923077
49,70.0,1.0,0.0,1.0,0.0,0.0
50,118.0,1.0,0.0,1.0,0.0,0.0
51,38.0,0.8157894736842105,0.0,0.8157894736842105,0.0,0.18421052631578946
52,11.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
53,111.0,1.0,0.0,1.0,0.0,0.0
54,86.0,0.9069767441860465,0.0,0.9069767441860465,0.0,0.09302325581395349
55,23.0,1.0,0.0,1.0,0.0,0.0
56,12.0,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.0
57,26.0,0.8461538461538461,0.0,0.8461538461538461,0.0,0.15384615384615385
58,15.0,0.6666666666666666,0.5333333333333333,0.13333333333333333,0.13333333333333333,0.2
59,15.0,1.0,0.0,1.0,0.0,0.0
60,76.0,1.0,0.0,1.0,0.0,0.0
61,274.0,0.7116788321167883,0.6897810218978102,0.021897810218978103,0.28102189781021897,0.0072992700729927005
62,21.0,0.5714285714285714,0.5714285714285714,0.0,0.3333333333333333,0.09523809523809523
63,93.0,0.7634408602150538,0.010752688172043012,0.7526881720430108,0.0,0.23655913978494625
64,43.0,1.0,0.0,1.0,0.0,0.0
65,12.0,1.0,0.0,1.0,0.0,0.0
66,53.0,0.8867924528301887,0.0,0.8867924528301887,0.0,0.11320754716981132
67,59.0,1.0,0.0,1.0,0.0,0.0
68,119.0,0.7983193277310925,0.0,0.7983193277310925,0.0,0.20168067226890757
69,74.0,0.9864864864864865,0.0,0.9864864864864865,0.0,0.013513513513513514
70,35.0,1.0,0.0,1.0,0.0,0.0
71,43.0,1.0,0.0,1.0,0.0,0.0
72,67.0,0.9850746268656716,0.0,0.9850746268656716,0.0,0.014925373134328358
73,76.0,1.0,0.0,1.0,0.0,0.0
74,15.0,1.0,0.0,1.0,0.0,0.0
75,29.0,1.0,0.0,1.0,0.0,0.0
76,62.0,0.8870967741935484,0.0,0.8870967741935484,0.0,0.11290322580645161
77,182.0,0.6373626373626373,0.45054945054945056,0.18681318681318682,0.2857142857142857,0.07692307692307693
78,95.0,0.9052631578947369,0.0,0.9052631578947369,0.0,0.09473684210526316
79,19.0,0.8947368421052632,0.0,0.8947368421052632,0.0,0.10526315789473684
80,322.0,0.65527950310559,0.20496894409937888,0.4503105590062112,0.12111801242236025,0.2236024844720497
81,24.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333
82,18.0,0.5555555555555556,0.0,0.5555555555555556,0.05555555555555555,0.3888888888888889
83,113.0,1.0,0.0,1.0,0.0,0.0
84,70.0,0.8857142857142857,0.02857142857142857,0.8571428571428571,0.014285714285714285,0.1
85,52.0,0.6346153846153846,0.5769230769230769,0.057692307692307696,0.3269230769230769,0.038461538461538464
86,80.0,0.775,0.0625,0.7125,0.0375,0.1875
87,21.0,0.9047619047619048,0.0,0.9047619047619048,0.0,0.09523809523809523
88,16.0,1.0,0.0,1.0,0.0,0.0
89,23.0,0.6086956521739131,0.30434782608695654,0.30434782608695654,0.13043478260869565,0.2608695652173913
